"filename", "language", "JSON", "JavaScript", "SCSS", "TypeScript", "YAML", "HTML", "comment", "blank", "total"
"c:\_code\Smash\src\app\step2\step2.component.scss", "SCSS", 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\_code\Smash\src\app\step2\step2.component.ts", "TypeScript", 0, 0, 0, 659, 0, 0, 75, 133, 867
"c:\_code\Smash\src\app\stepper\stepper.component.html", "HTML", 0, 0, 0, 0, 0, 22, 1, 2, 25
"c:\_code\Smash\src\app\stepper\stepper.component.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\_code\Smash\src\app\stepper\stepper.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 6, 26
"c:\_code\Smash\src\app\stepper\stepper.component.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 14, 74
"c:\_code\Smash\src\assets\css\mixins-index.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 2, 6
"c:\_code\Smash\src\assets\css\mixins\app-mat-mixin.scss", "SCSS", 0, 0, 8, 0, 0, 0, 3, 4, 15
"c:\_code\Smash\src\assets\css\mixins\app-mixin-template.scss", "SCSS", 0, 0, 9, 0, 0, 0, 2, 1, 12
"c:\_code\Smash\src\assets\css\theme\app-theme.scss", "SCSS", 0, 0, 5, 0, 0, 0, 10, 7, 22
"c:\_code\Smash\src\assets\preload\preload.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\_code\Smash\src\assets\window-interface\index.d.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 6, 1, 17
"c:\_code\Smash\src\environments\environment.development.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 11, 3, 17
"c:\_code\Smash\src\environments\environment.production.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\_code\Smash\src\environments\environment.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 11, 3, 17
"c:\_code\Smash\src\index.html", "HTML", 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\_code\Smash\src\main.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\_code\Smash\src\polyfills.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 57, 8, 66
"c:\_code\Smash\src\styles.scss", "SCSS", 0, 0, 26, 0, 0, 0, 2, 7, 35
"c:\_code\Smash\src\test.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 4, 4, 26
"c:\_code\Smash\src\tsconfig.app.json", "JSON", 16, 0, 0, 0, 0, 0, 8, 0, 24
"c:\_code\Smash\src\tsconfig.json", "JSON", 23, 0, 0, 0, 0, 0, 29, 0, 52
"c:\_code\Smash\tsconfig.json", "JSON", 23, 0, 0, 0, 0, 0, 29, 0, 52
"c:\_code\Smash\tsconfig.serve.json", "JSON", 24, 0, 0, 0, 0, 0, 3, 0, 27
"Total", "-", 24623, 102, 110, 2804, 1, 287, 425, 660, 29012
